barrios_hecho,genero,quantity
12 DE OCTUBRE,FEMENINO,157
12 DE OCTUBRE,MASCULINO,105
13 DE JUNIO,FEMENINO,15
13 DE JUNIO,MASCULINO,17
23 DE JUNIO,FEMENINO,54
23 DE JUNIO,MASCULINO,30
5 DE ENERO,FEMENINO,9
5 DE ENERO,MASCULINO,6
ALARCON,FEMENINO,774
ALARCON,MASCULINO,1086
ALTOS DEL KENNEDY,FEMENINO,37
ALTOS DEL KENNEDY,MASCULINO,22
ALTOS DEL PROGRESO,FEMENINO,90
ALTOS DEL PROGRESO,MASCULINO,61
BALCONES DEL KENNEDY,FEMENINO,33
BALCONES DEL KENNEDY,MASCULINO,18
BARRIO NUEVO,MASCULINO,3
BETANIA,FEMENINO,310
BETANIA,MASCULINO,329
BOSQUE NORTE,FEMENINO,119
BOSQUE NORTE,MASCULINO,125
BUENOS AIRES,FEMENINO,287
BUENOS AIRES,MASCULINO,250
CAFE MADRID,FEMENINO,1061
CAFE MADRID,MASCULINO,1038
CAMILO TORRES,FEMENINO,105
CAMILO TORRES,MASCULINO,57
CAMPO MADRID,FEMENINO,126
CAMPO MADRID,MASCULINO,85
CARLOS PIZARRO,FEMENINO,4
CARLOS PIZARRO,MASCULINO,1
CHAPINERO,FEMENINO,223
CHAPINERO,MASCULINO,361
CLAVERIANO,FEMENINO,137
CLAVERIANO,MASCULINO,147
COLORADOS,FEMENINO,637
COLORADOS,MASCULINO,502
COMUNEROS,FEMENINO,958
COMUNEROS,MASCULINO,1098
DIVINO NIÑO,FEMENINO,18
DIVINO NIÑO,MASCULINO,34
DON BOSCO,FEMENINO,68
DON BOSCO,MASCULINO,57
EL CINAL,FEMENINO,36
EL CINAL,MASCULINO,33
EL PABLÓN,FEMENINO,156
EL PABLÓN,MASCULINO,104
EL ROSAL,FEMENINO,31
EL ROSAL,MASCULINO,27
ESTORAQUES,FEMENINO,8
ESTORAQUES,MASCULINO,1
GAITAN,FEMENINO,611
GAITAN,MASCULINO,795
GALLINERAL,FEMENINO,5
GALLINERAL,MASCULINO,3
GIRARDOT,FEMENINO,1090
GIRARDOT,MASCULINO,1272
GRANADA,FEMENINO,245
GRANADA,MASCULINO,526
JOSE ANTONIO GALAN,FEMENINO,130
JOSE ANTONIO GALAN,MASCULINO,101
JOSE MARIA CORDOBA,FEMENINO,89
JOSE MARIA CORDOBA,MASCULINO,89
KENNEDY,FEMENINO,597
KENNEDY,MASCULINO,690
LA ESPERANZA I,FEMENINO,174
LA ESPERANZA I,MASCULINO,155
LA ESPERANZA II,FEMENINO,188
LA ESPERANZA II,MASCULINO,172
LA ESPERANZA III,FEMENINO,115
LA ESPERANZA III,MASCULINO,100
LA FERIA,FEMENINO,238
LA FERIA,MASCULINO,220
LA GLORIA,FEMENINO,55
LA GLORIA,MASCULINO,42
LA INDEPENDENCIA,FEMENINO,293
LA INDEPENDENCIA,MASCULINO,273
LA INMACULADA,FEMENINO,146
LA INMACULADA,MASCULINO,196
LA JUVENTUD,FEMENINO,201
LA JUVENTUD,MASCULINO,258
LA UNIVERSIDAD,FEMENINO,823
LA UNIVERSIDAD,MASCULINO,1005
LAS HAMACAS,FEMENINO,52
LAS HAMACAS,MASCULINO,59
LIZCANO I,FEMENINO,23
LIZCANO I,MASCULINO,21
LIZCANO II,FEMENINO,23
LIZCANO II,MASCULINO,20
LOS ANGELES,FEMENINO,120
LOS ANGELES,MASCULINO,128
MARIA PAZ,FEMENINO,265
MARIA PAZ,MASCULINO,215
MINUTO DE DIOS,FEMENINO,108
MINUTO DE DIOS,MASCULINO,97
MIRADOR,FEMENINO,3
MIRADOR,MASCULINO,8
MIRADOR DEL KENNEDY,FEMENINO,24
MIRADOR DEL KENNEDY,MASCULINO,17
MIRAFLORES,FEMENINO,305
MIRAFLORES,MASCULINO,268
MIRAMAR,FEMENINO,39
MIRAMAR,MASCULINO,44
MODELO,FEMENINO,160
MODELO,MASCULINO,239
MORRORICO,FEMENINO,338
MORRORICO,MASCULINO,400
MUTUALIDAD,FEMENINO,263
MUTUALIDAD,MASCULINO,427
NAPOLES,FEMENINO,116
NAPOLES,MASCULINO,83
NARIÑO,FEMENINO,186
NARIÑO,MASCULINO,165
NAVAS,MASCULINO,2
NORTE BAJO,FEMENINO,88
NORTE BAJO,MASCULINO,120
OLAS ALTAS,FEMENINO,33
OLAS ALTAS,MASCULINO,46
OLAS BAJAS,FEMENINO,96
OLAS BAJAS,MASCULINO,101
OLAS II,FEMENINO,24
OLAS II,MASCULINO,28
OMAGA I,FEMENINO,8
OMAGA I,MASCULINO,9
OMAGA II,FEMENINO,15
OMAGA II,MASCULINO,12
PIO XII,FEMENINO,40
PIO XII,MASCULINO,42
PRIMAVERAL,FEMENINO,5
PRIMAVERAL,MASCULINO,4
PUERTO RICO,FEMENINO,26
PUERTO RICO,MASCULINO,27
QUEBRADA LA IGLESIA I,FEMENINO,63
QUEBRADA LA IGLESIA I,MASCULINO,69
REGADERO NORTE,FEMENINO,177
REGADERO NORTE,MASCULINO,190
RINCON DE LA PAZ,FEMENINO,29
RINCON DE LA PAZ,MASCULINO,13
SAN CRISTOBAL,FEMENINO,130
SAN CRISTOBAL,MASCULINO,129
SAN MARTIN,FEMENINO,258
SAN MARTIN,MASCULINO,308
SAN PEDRO CLAVER,FEMENINO,58
SAN PEDRO CLAVER,MASCULINO,27
SAN RAFAEL,FEMENINO,315
SAN RAFAEL,MASCULINO,380
SANTANDER,FEMENINO,216
SANTANDER,MASCULINO,230
TEJAR NORTE,FEMENINO,125
TEJAR NORTE,MASCULINO,89
TRANSICION,FEMENINO,6
TRANSICION,MASCULINO,2
TRANSICION I,FEMENINO,228
TRANSICION I,MASCULINO,191
TRANSICION II,FEMENINO,56
TRANSICION II,MASCULINO,36
TRANSICION III,FEMENINO,55
TRANSICION III,MASCULINO,44
TRANSICION IV,FEMENINO,59
TRANSICION IV,MASCULINO,52
TRANSICION V,FEMENINO,106
TRANSICION V,MASCULINO,77
VILLA HELENA,FEMENINO,1
VILLA HELENA,MASCULINO,1
VILLA HELENA I,FEMENINO,182
VILLA HELENA I,MASCULINO,190
VILLA HELENA II,FEMENINO,19
VILLA HELENA II,MASCULINO,17
VILLA MARIA I,FEMENINO,45
VILLA MARIA I,MASCULINO,28
VILLA MARIA III,FEMENINO,1
VILLA MERCEDES,FEMENINO,223
VILLA MERCEDES,MASCULINO,276
VILLA ROSA,FEMENINO,525
VILLA ROSA,MASCULINO,545
VILLAS DE GIRARDOT,FEMENINO,99
VILLAS DE GIRARDOT,MASCULINO,55
ZARABANDA,FEMENINO,110
ZARABANDA,MASCULINO,88
